name,family,n_rows,n_cols,n_vertices,n_edges,n_faces,euler_check,handshake_check,invariants_ok,n_faces_3,n_faces_4,n_faces_5,n_faces_6,n_faces_7,n_faces_8,n_faces_9,n_faces_10,n_faces_11,n_faces_12,n_faces_ge13,mean_face_size,std_face_size,n_distinct_face_sizes,mean_edge_length,std_edge_length,min_edge_length,max_edge_length,n_reentrant_angles,n_reentrant_vertices,frac_reentrant_vertices,mean_vertex_min_angle,mean_vertex_max_angle,cell_area,edge_density,K_beam,G_beam,K_over_G_beam,nu_anisotropy_beam,fam_token_3,fam_token_4,fam_token_5,fam_token_6,fam_token_7,fam_token_8,fam_token_9,fam_token_10,fam_token_11,fam_token_12,nu_min_spring,nu_max_spring,spring_classification,nu_min_beam,nu_max_beam,beam_classification,is_homogeneous_auxetic,is_directional_auxetic
2x1_1,cloth,2,1,2,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4.0,0.0,1,0.75,0.25,0.5,1.0,0,0,0.0,1.5707963267948966,1.5707963267948966,2.0,2.0,0.5,0.2525,1.9801980198019802,0.9950064171039072,0,0,0,0,0,0,0,0,0,0,-0.0,0.9950064171039074,non_auxetic,-0.0,0.9950064171039072,non_auxetic,0,0
2x1_3,cloth,2,1,2,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4.0,0.0,1,1.0590169943749475,0.05901699437494745,1.0,1.118033988749895,0,0,0.0,0.46364760900080615,2.677945044588987,2.0,2.0,0.25350052861973554,0.1296671145088838,1.955010178022953,0.8727339056314555,0,0,0,0,0,0,0,0,0,0,-3.9644834581765396e-15,0.8691849925295915,directionally_auxetic,1.3877787807814457e-16,0.8727339056314556,non_auxetic,0,0
3x1_1,cloth,3,1,3,6,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4.0,0.0,1,0.7867932033426878,0.3212143791861975,0.3333333333333333,1.0540925533894598,0,0,0.0,0.7380991451960602,2.403493508393733,3.0000000000000004,1.9999999999999998,0.2631825119732773,0.1339863127039661,1.964249233089664,4.102899051427471,0,0,0,0,0,0,0,0,0,0,-1.5252910298433138,2.547561575065672,directionally_auxetic,-1.5358636012370204,2.5670354501904504,directionally_auxetic,0,1
5x1_20,cloth,5,1,5,10,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4.0,0.0,1,1.0099019513592786,0.009901951359278516,1.0,1.019803902718557,0,0,0.0,0.1973955598498805,2.9441970937399127,4.999999999999999,2.0000000000000004,0.25237500730820756,0.12910295096033284,1.954835311128948,2.64573356086287,0,0,0,0,0,0,0,0,0,0,-0.8494650914271377,1.792305087367055,directionally_auxetic,-0.8946152698222388,1.7511182910406309,directionally_auxetic,0,1
2x2_3,4,2,2,2,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4.0,0.0,1,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,0,0,0.0,1.5707963267948966,1.5707963267948966,4.0,1.0,0.3535533905932737,0.17854446224960324,1.9801980198019797,0.37105771978953406,0,1,0,0,0,0,0,0,0,0,0.6091403000124478,0.9801980198019804,non_auxetic,0.6091403000124461,0.9801980198019802,non_auxetic,0,0
1x1_1,4,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.0,0.0,1,1.2071067811865475,0.20710678118654757,1.0,1.4142135623730951,0,0,0.0,0.7853981633974483,2.356194490192345,1.0,2.0,0.6035533905932737,0.3032411613907041,1.9903412446558968,12.976903910541846,0,1,0,0,0,0,0,0,0,0,-5.488299606129577,7.317314608429309,directionally_auxetic,-5.551609935530906,7.4252939750109395,directionally_auxetic,0,1
1x2_1,4,1,2,2,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4.0,0.0,1,0.8090169943749475,0.30901699437494745,0.5,1.118033988749895,0,0,0.0,0.9272952180016123,3.141592653589793,2.0,2.0,0.26303644317915964,0.2577519138706784,1.020502386302872,3.365372627472593,0,1,0,0,0,0,0,0,0,0,-2.396520841447857,0.9801980198019802,directionally_auxetic,-2.385174607670613,0.9801980198019798,directionally_auxetic,0,1
1x3_1,4,1,3,3,6,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4.0,0.0,1,0.6937129433613967,0.36037961002806324,0.3333333333333333,1.0540925533894598,0,0,0.0,0.845349329994941,2.725244062790375,3.0000000000000004,1.9999999999999998,0.2868750364560768,0.2611627803667911,1.0984529880298182,10.420734014620638,0,1,0,0,0,0,0,0,0,0,-3.818116571621195,5.425797538303552,directionally_auxetic,-4.425155094052859,5.995578920567779,directionally_auxetic,0,1
1x4_2,4,1,4,4,8,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,4.0,0.0,1,0.6403882032022076,0.3903882032022076,0.25,1.0307764064044151,0,0,0.0,0.9078874949608803,2.4786838217557765,4.0,2.0,0.25442612015837407,0.2569922250551826,0.9900148539658835,3.661816746251227,0,1,0,0,0,0,0,0,0,0,-2.396520841447871,0.9801980198019684,directionally_auxetic,-3.304074983050497,0.3577417632007298,directionally_auxetic,0,1
1x5_1,4,1,5,5,10,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4.0,0.0,1,0.6099019513592785,0.40990195135927854,0.19999999999999996,1.019803902718557,0,0,0.0,0.9819569080469142,2.3175521934227836,4.999999999999999,2.0000000000000004,0.3591936272783253,0.270775980561045,1.3265343053474679,11.69031712133362,0,1,0,0,0,0,0,0,0,0,-4.376132113584541,6.273925440654747,directionally_auxetic,-4.8577922558170386,6.832524865516583,directionally_auxetic,0,1
